audit_number,source_index,pair_index,manual_missed_positive,manual_missed_labels
1,11392,0,0,
2,15436,0,0,
3,21811,0,0,
4,23711,3,0,
5,24791,7,0,
6,30245,1,0,
7,33385,0,0,
8,33821,0,0,
9,38803,0,0,
10,43603,0,0,
11,44272,0,0,
12,44446,0,0,
13,44481,0,0,
14,47679,2,0,
15,49947,0,0,
16,65251,0,0,
17,77329,0,0,
18,81778,9,0,
19,81783,2,0,
20,88811,5,0,
21,91544,0,0,
22,108373,0,0,
23,111463,0,0,
24,114613,7,0,
25,115225,0,0,
26,120527,6,0,
27,120579,0,0,
28,135441,0,0,
29,139372,0,0,
30,149592,0,0,
31,157870,1,0,
32,159369,0,0,
33,159889,0,0,
34,161206,0,0,
35,162582,0,0,
36,165844,2,0,
37,170383,0,0,
38,172441,0,0,
39,179716,11,0,
40,180214,0,0,
41,194507,0,0,
42,200558,0,0,
43,200575,0,0,
44,202519,1,0,
45,204512,0,0,
46,205734,0,0,
47,211489,2,0,
48,214365,0,0,
49,219047,1,0,
50,219341,4,0,
51,222355,0,0,
52,223725,0,0,
53,224561,4,1,directive_advice
54,228243,1,0,
55,228447,0,0,
56,229014,0,0,
57,229647,0,0,
58,231448,0,0,
59,238435,0,0,
60,240556,0,0,
61,244983,0,0,
62,245102,1,0,
63,246017,4,0,
64,266127,0,0,
65,269657,2,0,
66,278808,0,0,
67,282890,0,0,
68,287517,0,0,
69,297078,0,0,
70,298080,0,0,
71,306010,0,0,
72,314054,0,0,
73,315117,5,0,
74,320321,3,0,
75,322878,6,0,
76,330305,1,0,
77,330426,2,0,
78,331612,0,0,
79,332763,2,0,
80,336068,0,0,
81,339968,1,0,
82,340417,0,0,
83,341313,2,0,
84,348123,0,0,
85,352670,1,0,
86,353388,0,0,
87,369123,0,0,
88,375973,0,0,
89,384914,45,0,
90,396762,0,0,
91,397577,0,0,
92,400589,0,0,
93,404247,10,0,
94,404561,0,0,
95,412675,0,0,
96,421324,0,0,
97,426393,1,0,
98,433739,0,0,
99,436225,0,0,
100,436805,0,0,
