source_index,pair_index,manual_relevant,manual_category
130,1,1,relational|advice_decision
303,2,1,emotional
817,0,1,emotional
1220,0,1,personal_lifestyle|advice_decision
2331,1,1,relational|advice_decision
5613,1,0,
5851,24,0,
6278,1,1,emotional
6366,0,1,personal_lifestyle|advice_decision
8084,0,0,
8265,0,0,
10660,0,0,
10906,0,1,personal_lifestyle|advice_decision
11392,0,0,
11787,1,1,relational|advice_decision
12456,0,0,
13019,0,0,
13420,0,1,relational|advice_decision
14243,0,0,
15086,0,1,relational|advice_decision
15087,7,1,relational|advice_decision
15436,0,0,
19655,2,1,personal_lifestyle|advice_decision
20959,0,1,emotional|personal_lifestyle|advice_decision
21735,0,1,emotional|relational|personal_lifestyle|advice_decision
21811,0,1,relational|advice_decision
23711,3,0,
23803,4,0,
24791,7,1,emotional|relational
24947,1,0,
25388,36,0,
25761,1,0,
26577,0,0,
28417,4,0,
28456,0,1,emotional|personal_lifestyle|advice_decision
28809,0,0,
29926,7,1,emotional
30171,3,0,
30245,1,1,emotional|personal_lifestyle|advice_decision
31262,1,1,emotional|personal_lifestyle|advice_decision
31276,0,1,emotional|personal_lifestyle|advice_decision
31733,4,1,emotional|personal_lifestyle|advice_decision
32428,0,1,emotional
33385,0,1,relational|advice_decision
33499,22,1,relational|advice_decision
33821,0,0,
34238,0,0,
34856,0,1,emotional|personal_lifestyle|advice_decision
35059,10,1,emotional|personal_lifestyle|advice_decision
36502,6,0,
36762,0,1,personal_lifestyle|advice_decision
37375,2,0,
37872,2,1,relational|personal_lifestyle|advice_decision
38803,0,0,
40629,0,0,
41898,0,0,
42475,0,1,emotional|relational|advice_decision
42850,0,1,emotional|personal_lifestyle|advice_decision
43333,0,0,
43461,4,1,relational|advice_decision
43603,0,1,relational|advice_decision
43983,0,0,
44446,0,0,
44724,0,1,personal_lifestyle|advice_decision
44786,11,0,
45720,0,0,
46270,0,0,
47510,0,0,
47679,2,1,relational|personal_lifestyle|advice_decision
47764,0,0,
50220,2,0,
51262,3,1,emotional|relational|personal_lifestyle|advice_decision
52108,1,0,
55114,0,0,
55266,0,1,emotional|advice_decision
57069,0,0,
57983,2,1,relational|advice_decision
58105,0,1,emotional|personal_lifestyle|advice_decision
58303,6,0,
58797,0,1,relational|advice_decision
59837,0,0,
61325,0,0,
62209,0,1,relational|personal_lifestyle|advice_decision
62267,0,1,relational|advice_decision
63755,0,1,emotional
64980,0,1,emotional
65117,0,1,personal_lifestyle|advice_decision
65226,0,1,relational|advice_decision
65251,0,0,
65471,0,0,
66576,0,0,
66938,9,1,emotional
67010,10,0,
67117,0,1,emotional
67442,0,0,
67474,0,1,emotional|personal_lifestyle
68340,0,1,relational|advice_decision
68347,6,0,
69579,0,0,
70341,5,1,emotional|personal_lifestyle
72469,0,0,
72786,0,0,
72939,0,0,
74163,0,1,advice_decision
77329,1,1,relational|advice_decision
79032,0,1,emotional|personal_lifestyle
79334,5,0,
79401,0,0,
79640,5,1,emotional
79927,1,1,emotional|personal_lifestyle|advice_decision
80218,11,0,
80390,0,1,emotional|personal_lifestyle
80678,0,0,
81778,9,1,personal_lifestyle|advice_decision
81783,2,0,
82569,1,1,emotional|personal_lifestyle
82617,2,1,emotional|personal_lifestyle
82905,0,1,emotional|personal_lifestyle
83274,3,0,
84949,0,1,emotional|personal_lifestyle|advice_decision
85331,1,1,emotional|relational|advice_decision
86417,0,0,
88811,5,0,
89005,2,0,
90482,1,1,relational|personal_lifestyle
90526,0,0,
90723,0,1,emotional|personal_lifestyle|advice_decision
91544,0,1,personal_lifestyle|advice_decision
91587,0,1,personal_lifestyle|advice_decision
92538,0,0,
93926,0,0,
93984,3,1,emotional|personal_lifestyle
94470,1,1,relational|personal_lifestyle|advice_decision
94803,0,1,emotional|advice_decision
96512,1,0,
97474,0,0,
97859,0,0,
98133,0,1,emotional|relational|advice_decision
98490,4,1,emotional|personal_lifestyle
98754,0,1,emotional|personal_lifestyle|advice_decision
98873,0,0,
99313,0,0,
102221,0,1,personal_lifestyle|advice_decision
103529,0,0,
105294,11,0,
105783,1,1,emotional|personal_lifestyle
108373,0,1,personal_lifestyle|advice_decision
108498,0,0,
108526,0,1,personal_lifestyle|advice_decision
111085,0,1,personal_lifestyle|advice_decision
111327,35,1,emotional|advice_decision
111451,1,1,emotional|personal_lifestyle
111463,0,0,
112702,3,1,emotional|personal_lifestyle
113000,0,1,emotional|relational|advice_decision
113085,2,0,
113729,57,0,
115225,0,0,
115712,3,0,
116000,4,0,
116373,0,1,relational|advice_decision
116569,0,0,
118314,5,0,
118365,0,0,
118696,2,1,emotional|relational|advice_decision
120067,0,1,relational|advice_decision
120527,6,0,
120579,0,1,relational|advice_decision
122184,3,1,relational|advice_decision
125974,9,1,emotional|relational
126104,4,0,
126987,0,0,
127009,0,1,emotional|relational|advice_decision
131049,0,1,relational|advice_decision
132859,0,0,
133121,3,1,relational|advice_decision
133151,0,1,emotional|relational|advice_decision
133424,1,0,
134852,0,1,personal_lifestyle|advice_decision
135441,0,1,emotional|personal_lifestyle|advice_decision
135475,0,1,relational|advice_decision
135610,3,1,relational|advice_decision
135669,3,0,
135823,0,1,relational|personal_lifestyle|advice_decision
137852,0,1,emotional
138363,2,1,personal_lifestyle|advice_decision
139372,0,1,emotional|personal_lifestyle|advice_decision
140552,0,1,relational|advice_decision
142897,8,0,
142954,0,0,
143203,1,1,emotional
143440,0,0,
144740,0,0,
145177,8,1,relational|advice_decision
145940,7,1,relational|advice_decision
146594,0,0,
147422,0,1,relational|emotional|advice_decision
148171,0,1,relational|personal_lifestyle|advice_decision
148398,0,0,
149592,0,1,relational|advice_decision
