noise_condition,preprocess_config,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,predicted_positive
clean,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
clean,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
clean,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
clean,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
casing,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
casing,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
casing,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
casing,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
punctuation,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
punctuation,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
punctuation,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
punctuation,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
whitespace,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
whitespace,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
whitespace,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
whitespace,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
typo,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
typo,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
typo,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
typo,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
word_deletion,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
word_deletion,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
word_deletion,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
word_deletion,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
filler,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
filler,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
filler,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
filler,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
mixed,none,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
mixed,minimal,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
mixed,noise_aware,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
mixed,aggressive,0.94,0.5,0.0,0.0,0.0,94,0,6,0,0
