noise_condition,preprocess_config,fold,roc_auc,average_precision
casing,aggressive,0,0.765625,0.5588235294117647
casing,aggressive,1,0.967741935483871,0.75
casing,aggressive,2,0.532258064516129,0.09215686274509804
casing,minimal,0,0.828125,0.5769230769230769
casing,minimal,1,0.9516129032258064,0.7
casing,minimal,2,0.8225806451612904,0.3333333333333333
casing,noise_aware,0,0.828125,0.5769230769230769
casing,noise_aware,1,0.9516129032258064,0.7
casing,noise_aware,2,0.8225806451612904,0.3333333333333333
casing,none,0,0.828125,0.5769230769230769
casing,none,1,0.9516129032258064,0.7
casing,none,2,0.8225806451612904,0.3333333333333333
clean,aggressive,0,0.765625,0.5588235294117647
clean,aggressive,1,0.967741935483871,0.75
clean,aggressive,2,0.532258064516129,0.09215686274509804
clean,minimal,0,0.828125,0.5769230769230769
clean,minimal,1,0.9516129032258064,0.7
clean,minimal,2,0.8225806451612904,0.3333333333333333
clean,noise_aware,0,0.828125,0.5769230769230769
clean,noise_aware,1,0.9516129032258064,0.7
clean,noise_aware,2,0.8225806451612904,0.3333333333333333
clean,none,0,0.828125,0.5769230769230769
clean,none,1,0.9516129032258064,0.7
clean,none,2,0.8225806451612904,0.3333333333333333
filler,aggressive,0,0.75,0.5555555555555556
filler,aggressive,1,0.967741935483871,0.75
filler,aggressive,2,0.5483870967741935,0.09453781512605042
filler,minimal,0,0.828125,0.5769230769230769
filler,minimal,1,0.967741935483871,0.75
filler,minimal,2,0.8225806451612904,0.3333333333333333
filler,noise_aware,0,0.828125,0.5769230769230769
filler,noise_aware,1,0.9516129032258064,0.7
filler,noise_aware,2,0.8225806451612904,0.3333333333333333
filler,none,0,0.828125,0.5769230769230769
filler,none,1,0.967741935483871,0.75
filler,none,2,0.8225806451612904,0.3333333333333333
mixed,aggressive,0,0.75,0.5555555555555556
mixed,aggressive,1,0.967741935483871,0.75
mixed,aggressive,2,0.6290322580645161,0.11309523809523808
mixed,minimal,0,0.78125,0.5625
mixed,minimal,1,0.9838709677419355,0.8333333333333333
mixed,minimal,2,0.8225806451612904,0.25757575757575757
mixed,noise_aware,0,0.78125,0.5625
mixed,noise_aware,1,0.9838709677419355,0.8333333333333333
mixed,noise_aware,2,0.8225806451612904,0.25757575757575757
mixed,none,0,0.78125,0.5625
mixed,none,1,0.9838709677419355,0.8333333333333333
mixed,none,2,0.8225806451612904,0.25757575757575757
punctuation,aggressive,0,0.765625,0.5588235294117647
punctuation,aggressive,1,0.967741935483871,0.75
punctuation,aggressive,2,0.532258064516129,0.09215686274509804
punctuation,minimal,0,0.828125,0.5769230769230769
punctuation,minimal,1,0.9516129032258064,0.7
punctuation,minimal,2,0.8225806451612904,0.3333333333333333
punctuation,noise_aware,0,0.828125,0.5769230769230769
punctuation,noise_aware,1,0.9516129032258064,0.7
punctuation,noise_aware,2,0.8225806451612904,0.3333333333333333
punctuation,none,0,0.828125,0.5769230769230769
punctuation,none,1,0.9516129032258064,0.7
punctuation,none,2,0.8225806451612904,0.3333333333333333
typo,aggressive,0,0.765625,0.5588235294117647
typo,aggressive,1,0.9516129032258064,0.7
typo,aggressive,2,0.532258064516129,0.09215686274509804
typo,minimal,0,0.84375,0.5833333333333334
typo,minimal,1,0.935483870967742,0.6666666666666666
typo,minimal,2,0.8387096774193549,0.34090909090909094
typo,noise_aware,0,0.84375,0.5833333333333334
typo,noise_aware,1,0.935483870967742,0.6666666666666666
typo,noise_aware,2,0.8387096774193549,0.34090909090909094
typo,none,0,0.84375,0.5833333333333334
typo,none,1,0.935483870967742,0.6666666666666666
typo,none,2,0.8387096774193549,0.34090909090909094
whitespace,aggressive,0,0.84375,0.5833333333333334
whitespace,aggressive,1,0.9838709677419355,0.8333333333333333
whitespace,aggressive,2,0.532258064516129,0.09215686274509804
whitespace,minimal,0,0.71875,0.55
whitespace,minimal,1,0.9838709677419355,0.8333333333333333
whitespace,minimal,2,0.8548387096774194,0.35
whitespace,noise_aware,0,0.71875,0.55
whitespace,noise_aware,1,0.9838709677419355,0.8333333333333333
whitespace,noise_aware,2,0.8548387096774194,0.35
whitespace,none,0,0.71875,0.55
whitespace,none,1,0.9838709677419355,0.8333333333333333
whitespace,none,2,0.8548387096774194,0.35
word_deletion,aggressive,0,0.75,0.5555555555555556
word_deletion,aggressive,1,0.9838709677419355,0.8333333333333333
word_deletion,aggressive,2,0.532258064516129,0.09215686274509804
word_deletion,minimal,0,0.828125,0.5769230769230769
word_deletion,minimal,1,0.9838709677419355,0.8333333333333333
word_deletion,minimal,2,0.8387096774193549,0.34090909090909094
word_deletion,noise_aware,0,0.828125,0.5769230769230769
word_deletion,noise_aware,1,0.9838709677419355,0.8333333333333333
word_deletion,noise_aware,2,0.8387096774193549,0.34090909090909094
word_deletion,none,0,0.828125,0.5769230769230769
word_deletion,none,1,0.9838709677419355,0.8333333333333333
word_deletion,none,2,0.8387096774193549,0.34090909090909094
