noise_condition,preprocess_config,mean_roc_auc,min_roc_auc,max_roc_auc,mean_average_precision,roc_auc_delta_vs_clean,ap_delta_vs_clean,noise_none_roc_auc,noise_none_average_precision,roc_auc_recovery_vs_none,ap_recovery_vs_none
clean,none,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
clean,minimal,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
clean,noise_aware,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
clean,aggressive,0.755,0.532,0.968,0.467,-0.112,-0.07,0.867,0.537,-0.112,-0.07
casing,none,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
casing,minimal,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
casing,noise_aware,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
casing,aggressive,0.755,0.532,0.968,0.467,-0.112,-0.07,0.867,0.537,-0.112,-0.07
punctuation,none,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
punctuation,minimal,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
punctuation,noise_aware,0.867,0.823,0.952,0.537,0.0,0.0,0.867,0.537,0.0,0.0
punctuation,aggressive,0.755,0.532,0.968,0.467,-0.112,-0.07,0.867,0.537,-0.112,-0.07
whitespace,none,0.852,0.719,0.984,0.578,-0.015,0.041,0.852,0.578,0.0,0.0
whitespace,minimal,0.852,0.719,0.984,0.578,-0.015,0.041,0.852,0.578,0.0,0.0
whitespace,noise_aware,0.852,0.719,0.984,0.578,-0.015,0.041,0.852,0.578,0.0,0.0
whitespace,aggressive,0.787,0.532,0.984,0.503,-0.08,-0.034,0.852,0.578,-0.065,-0.075
typo,none,0.873,0.839,0.935,0.53,0.006,-0.007,0.873,0.53,0.0,0.0
typo,minimal,0.873,0.839,0.935,0.53,0.006,-0.007,0.873,0.53,0.0,0.0
typo,noise_aware,0.873,0.839,0.935,0.53,0.006,-0.007,0.873,0.53,0.0,0.0
typo,aggressive,0.75,0.532,0.952,0.45,-0.117,-0.087,0.873,0.53,-0.123,-0.08
word_deletion,none,0.884,0.828,0.984,0.584,0.017,0.047,0.884,0.584,0.0,0.0
word_deletion,minimal,0.884,0.828,0.984,0.584,0.017,0.047,0.884,0.584,0.0,0.0
word_deletion,noise_aware,0.884,0.828,0.984,0.584,0.017,0.047,0.884,0.584,0.0,0.0
word_deletion,aggressive,0.755,0.532,0.984,0.494,-0.112,-0.043,0.884,0.584,-0.129,-0.09
filler,none,0.873,0.823,0.968,0.553,0.006,0.016,0.873,0.553,0.0,0.0
filler,minimal,0.873,0.823,0.968,0.553,0.006,0.016,0.873,0.553,0.0,0.0
filler,noise_aware,0.867,0.823,0.952,0.537,0.0,0.0,0.873,0.553,-0.006,-0.016
filler,aggressive,0.755,0.548,0.968,0.467,-0.112,-0.07,0.873,0.553,-0.118,-0.086
mixed,none,0.863,0.781,0.984,0.551,-0.004,0.014,0.863,0.551,0.0,0.0
mixed,minimal,0.863,0.781,0.984,0.551,-0.004,0.014,0.863,0.551,0.0,0.0
mixed,noise_aware,0.863,0.781,0.984,0.551,-0.004,0.014,0.863,0.551,0.0,0.0
mixed,aggressive,0.782,0.629,0.968,0.473,-0.085,-0.064,0.863,0.551,-0.081,-0.078
