noise_condition,preprocess_config,mean_roc_auc,min_roc_auc,max_roc_auc,mean_average_precision
clean,none,0.867,0.823,0.952,0.537
clean,minimal,0.867,0.823,0.952,0.537
clean,noise_aware,0.867,0.823,0.952,0.537
clean,aggressive,0.755,0.532,0.968,0.467
casing,none,0.867,0.823,0.952,0.537
casing,minimal,0.867,0.823,0.952,0.537
casing,noise_aware,0.867,0.823,0.952,0.537
casing,aggressive,0.755,0.532,0.968,0.467
punctuation,none,0.867,0.823,0.952,0.537
punctuation,minimal,0.867,0.823,0.952,0.537
punctuation,noise_aware,0.867,0.823,0.952,0.537
punctuation,aggressive,0.755,0.532,0.968,0.467
whitespace,none,0.852,0.719,0.984,0.578
whitespace,minimal,0.852,0.719,0.984,0.578
whitespace,noise_aware,0.852,0.719,0.984,0.578
whitespace,aggressive,0.787,0.532,0.984,0.503
typo,none,0.873,0.839,0.935,0.53
typo,minimal,0.873,0.839,0.935,0.53
typo,noise_aware,0.873,0.839,0.935,0.53
typo,aggressive,0.75,0.532,0.952,0.45
word_deletion,none,0.884,0.828,0.984,0.584
word_deletion,minimal,0.884,0.828,0.984,0.584
word_deletion,noise_aware,0.884,0.828,0.984,0.584
word_deletion,aggressive,0.755,0.532,0.984,0.494
filler,none,0.873,0.823,0.968,0.553
filler,minimal,0.873,0.823,0.968,0.553
filler,noise_aware,0.867,0.823,0.952,0.537
filler,aggressive,0.755,0.548,0.968,0.467
mixed,none,0.863,0.781,0.984,0.551
mixed,minimal,0.863,0.781,0.984,0.551
mixed,noise_aware,0.863,0.781,0.984,0.551
mixed,aggressive,0.782,0.629,0.968,0.473
