noise_condition,preprocess_config,mean_score,mean_score_positive,mean_score_negative,mean_delta,mean_delta_positive,mean_delta_negative,mean_absolute_delta
clean,none,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
clean,minimal,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
clean,noise_aware,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
clean,aggressive,-0.8062,-0.7335,-0.8108,-0.0436,-0.1622,-0.0361,0.0614
casing,none,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
casing,minimal,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
casing,noise_aware,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
casing,aggressive,-0.8062,-0.7335,-0.8108,-0.0436,-0.1622,-0.0361,0.0614
punctuation,none,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
punctuation,minimal,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
punctuation,noise_aware,-0.7626,-0.5712,-0.7748,0.0,0.0,0.0,0.0
punctuation,aggressive,-0.8062,-0.7335,-0.8108,-0.0436,-0.1622,-0.0361,0.0614
whitespace,none,-0.7617,-0.5794,-0.7733,0.0009,-0.0082,0.0014,0.0131
whitespace,minimal,-0.7617,-0.5794,-0.7733,0.0009,-0.0082,0.0014,0.0131
whitespace,noise_aware,-0.7617,-0.5794,-0.7733,0.0009,-0.0082,0.0014,0.0131
whitespace,aggressive,-0.8063,-0.7358,-0.8108,-0.0438,-0.1646,-0.036,0.0615
typo,none,-0.762,-0.571,-0.7742,0.0006,0.0002,0.0006,0.0065
typo,minimal,-0.762,-0.571,-0.7742,0.0006,0.0002,0.0006,0.0065
typo,noise_aware,-0.762,-0.571,-0.7742,0.0006,0.0002,0.0006,0.0065
typo,aggressive,-0.8053,-0.7372,-0.8096,-0.0427,-0.166,-0.0348,0.0606
word_deletion,none,-0.7628,-0.5683,-0.7753,-0.0003,0.0029,-0.0005,0.0064
word_deletion,minimal,-0.7628,-0.5683,-0.7753,-0.0003,0.0029,-0.0005,0.0064
word_deletion,noise_aware,-0.7628,-0.5683,-0.7753,-0.0003,0.0029,-0.0005,0.0064
word_deletion,aggressive,-0.8061,-0.7307,-0.811,-0.0436,-0.1595,-0.0362,0.06
filler,none,-0.7602,-0.5688,-0.7724,0.0023,0.0024,0.0023,0.0065
filler,minimal,-0.7602,-0.5688,-0.7724,0.0023,0.0024,0.0023,0.0065
filler,noise_aware,-0.76,-0.5697,-0.7722,0.0026,0.0015,0.0026,0.0055
filler,aggressive,-0.8032,-0.7289,-0.8079,-0.0406,-0.1577,-0.0331,0.0608
mixed,none,-0.7592,-0.5893,-0.7701,0.0033,-0.0181,0.0047,0.0193
mixed,minimal,-0.7592,-0.5893,-0.7701,0.0033,-0.0181,0.0047,0.0193
mixed,noise_aware,-0.7592,-0.5911,-0.7699,0.0034,-0.0199,0.0049,0.0196
mixed,aggressive,-0.8001,-0.7226,-0.805,-0.0375,-0.1514,-0.0302,0.0607
