fold,noise_condition,preprocess_config,n_test,n_positive,predicted_positives,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,roc_auc,average_precision
0,clean,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,clean,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,clean,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,clean,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5924551638837353,0.016430209371912582
0,casing,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,casing,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,casing,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,casing,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5924551638837353,0.016430209371912582
0,punctuation,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,punctuation,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,punctuation,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.823747680890538,0.05629563785911893
0,punctuation,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5924551638837353,0.016430209371912582
0,whitespace,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8546691403834261,0.05211187817355221
0,whitespace,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8546691403834261,0.05211187817355221
0,whitespace,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8546691403834261,0.05211187817355221
0,whitespace,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5479282622139765,0.014315686695609415
0,typo,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8277674706246134,0.05667151667565918
0,typo,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8277674706246134,0.05667151667565918
0,typo,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8277674706246134,0.05667151667565918
0,typo,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.575139146567718,0.015651263192662006
0,word_deletion,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8150896722325294,0.05803054566411236
0,word_deletion,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8150896722325294,0.05803054566411236
0,word_deletion,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8150896722325294,0.05803054566411236
0,word_deletion,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5807050092764379,0.015831364097555995
0,filler,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8299319727891157,0.055793622981645474
0,filler,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8299319727891157,0.055793622981645474
0,filler,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8268398268398269,0.055481766967945816
0,filler,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.5946196660482375,0.016579966481339945
0,mixed,none,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8092145949288806,0.061319023056739363
0,mixed,minimal,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8092145949288806,0.061319023056739363
0,mixed,noise_aware,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.8760049474335189,0.06322476412749073
0,mixed,aggressive,545,6,0,0.9889908256880734,0.5,0.0,0.0,0.0,539,0,6,0,0.6385281385281386,0.01959992330812516
1,clean,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,clean,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,clean,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,clean,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6734693877551021,0.02277675596374882
1,casing,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,casing,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,casing,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,casing,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6734693877551021,0.02277675596374882
1,punctuation,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,punctuation,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,punctuation,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9480519480519481,0.2515977961432507
1,punctuation,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6734693877551021,0.02277675596374882
1,whitespace,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9417439703153989,0.26085177733065057
1,whitespace,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9417439703153989,0.26085177733065057
1,whitespace,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9417439703153989,0.26085177733065057
1,whitespace,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6467532467532467,0.017734409421480943
1,typo,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9510204081632654,0.2233766233766234
1,typo,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9510204081632654,0.2233766233766234
1,typo,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9510204081632654,0.2233766233766234
1,typo,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6615955473098329,0.018704966380693057
1,word_deletion,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9499072356215214,0.24206863312126473
1,word_deletion,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9499072356215214,0.24206863312126473
1,word_deletion,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9499072356215214,0.24206863312126473
1,word_deletion,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6820037105751392,0.020247504678660513
1,filler,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9391465677179962,0.21329670329670333
1,filler,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9391465677179962,0.21329670329670333
1,filler,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9391465677179963,0.21756838905775078
1,filler,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.6686456400742116,0.02217047858811484
1,mixed,none,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9209647495361782,0.20901649548708373
1,mixed,minimal,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9209647495361782,0.20901649548708373
1,mixed,noise_aware,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.9194805194805196,0.2089068373463375
1,mixed,aggressive,544,5,0,0.9908088235294118,0.5,0.0,0.0,0.0,539,0,5,0,0.5803339517625232,0.01834742308607125
2,clean,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,clean,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,clean,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,clean,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7735439900867411,0.028814331627551464
2,casing,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,casing,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,casing,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,casing,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7735439900867411,0.028814331627551464
2,punctuation,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,punctuation,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,punctuation,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8469640644361833,0.2841840943639133
2,punctuation,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7735439900867411,0.028814331627551464
2,whitespace,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8333333333333334,0.37031049591791276
2,whitespace,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8333333333333334,0.37031049591791276
2,whitespace,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8333333333333334,0.37031049591791276
2,whitespace,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7555762081784387,0.032511268187948465
2,typo,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8057620817843867,0.28246519132819714
2,typo,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8057620817843867,0.28246519132819714
2,typo,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8057620817843867,0.28246519132819714
2,typo,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.75,0.026869089198386452
2,word_deletion,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8503717472118959,0.2850695251000129
2,word_deletion,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8503717472118959,0.2850695251000129
2,word_deletion,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8503717472118959,0.2850695251000129
2,word_deletion,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.758364312267658,0.027513800753237373
2,filler,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8423172242874846,0.2832030486658822
2,filler,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8423172242874846,0.2832030486658822
2,filler,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8398389095415117,0.2829469880444393
2,filler,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7704460966542752,0.02871759424578889
2,mixed,none,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8432465923172243,0.23694621654059533
2,mixed,minimal,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8432465923172243,0.23694621654059533
2,mixed,noise_aware,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.8407682775712515,0.2545927433281652
2,mixed,aggressive,544,6,0,0.9889705882352942,0.5,0.0,0.0,0.0,538,0,6,0,0.7927509293680297,0.043292206507326986
