noise_condition,preprocess_config,rows,any_cue_retained,all_cues_retained,any_cue_retention_pct,all_cue_retention_pct
casing,minimal,14,14,14,100.0,100.0
casing,noise_aware,14,14,14,100.0,100.0
casing,none,14,14,14,100.0,100.0
clean,minimal,14,14,14,100.0,100.0
clean,noise_aware,14,14,14,100.0,100.0
clean,none,14,14,14,100.0,100.0
filler,minimal,14,14,14,100.0,100.0
filler,noise_aware,14,14,14,100.0,100.0
filler,none,14,14,14,100.0,100.0
mixed,minimal,14,11,11,78.57142857142857,78.57142857142857
mixed,noise_aware,14,12,12,85.71428571428571,85.71428571428571
mixed,none,14,11,11,78.57142857142857,78.57142857142857
punctuation,minimal,14,14,14,100.0,100.0
punctuation,noise_aware,14,14,14,100.0,100.0
punctuation,none,14,14,14,100.0,100.0
typo,minimal,14,14,14,100.0,100.0
typo,noise_aware,14,14,14,100.0,100.0
typo,none,14,14,14,100.0,100.0
whitespace,minimal,14,14,14,100.0,100.0
whitespace,noise_aware,14,14,14,100.0,100.0
whitespace,none,14,14,14,100.0,100.0
word_deletion,minimal,14,14,14,100.0,100.0
word_deletion,noise_aware,14,14,14,100.0,100.0
word_deletion,none,14,14,14,100.0,100.0
