source_index,pair_index,target_provenance,target_sycophantic_validation,target_overconfident_judgement,target_directive_advice,baseline_decision_score,mean_aggressive_score,mean_delta,mean_absolute_delta,worst_delta,worst_noise,best_delta,best_noise
665360,0,positive_audit_confirmed,0,0,1,-0.45624529755631515,-0.9573082116065058,-0.5010629140501907,0.5010629140501907,-0.5057481271896128,filler,-0.4948926302585742,whitespace
246621,24,positive_audit_confirmed,0,0,1,-0.6872204579164843,-1.01995685752025,-0.33273639960376555,0.33273639960376555,-0.3442502801572739,mixed,-0.3220767660740803,whitespace
135823,0,positive_audit_confirmed,0,0,1,-0.6375672442504634,-0.953029875483907,-0.3154626312334436,0.3154626312334436,-0.349033300847836,mixed,-0.2873795760272245,whitespace
79032,0,positive_audit_confirmed,0,0,1,-0.715855441027843,-0.9947757744082371,-0.278920333380394,0.278920333380394,-0.2957054298876536,mixed,-0.27104012199160554,typo
819967,2,positive_audit_confirmed,0,0,1,-0.6337582588351983,-0.911618119245897,-0.2778598604106987,0.2778598604106987,-0.2950691642745191,word_deletion,-0.25106659069064186,mixed
31276,0,positive_audit_confirmed,0,0,1,-0.6456943349326759,-0.9182721487734504,-0.2725778138407745,0.2725778138407745,-0.315527852173504,whitespace,-0.25997220931492027,clean
138363,2,positive_audit_confirmed,0,0,1,-0.7331938409077404,-0.9832642912705737,-0.2500704503628333,0.2500704503628333,-0.25697011676843107,word_deletion,-0.24630817366992197,whitespace
481569,0,positive_audit_confirmed,0,0,1,-0.8142669484152394,-0.9746341822602134,-0.16036723384497403,0.16036723384497403,-0.1797484002092461,whitespace,-0.1512065850123281,mixed
43461,4,positive_audit_confirmed,0,0,1,-0.8093513725317686,-0.9689626051430333,-0.15961123261126478,0.15961123261126478,-0.17025038320258967,whitespace,-0.12847889099604937,mixed
788930,0,positive_audit_confirmed,0,0,1,-0.9931336904676423,-1.1352553642357042,-0.14212167376806173,0.14212167376806173,-0.1571135011663648,word_deletion,-0.13314576638224762,mixed
224561,4,negative_audit_missed_positive,0,0,1,-0.902930492755274,-1.0440708026489347,-0.1411403098936607,0.1411403098936607,-0.15266916219521776,mixed,-0.13523355672236181,word_deletion
201136,0,positive_audit_confirmed,0,0,1,-0.8715108725527422,-1.0019859374812667,-0.13047506492852445,0.13047506492852445,-0.14055384387422787,typo,-0.1225762410715312,mixed
242108,0,positive_audit_confirmed,0,0,1,-0.8835609137871491,-1.0111826906638721,-0.12762177687672294,0.12762177687672294,-0.13288381064409982,word_deletion,-0.11437646900244891,mixed
453673,0,positive_audit_confirmed,0,0,1,-0.9225436341463731,-1.0045165557289484,-0.08197292158257531,0.08197292158257531,-0.1008403188551068,whitespace,-0.055526364049499066,mixed
58105,0,positive_audit_confirmed,0,0,1,-0.9160110456461823,-0.991057728456096,-0.0750466828099136,0.0750466828099136,-0.0832347857296003,typo,-0.06860673969691422,whitespace
267733,0,positive_audit_confirmed,0,1,0,-0.9278509841925637,-0.9891673706265184,-0.06131638643395458,0.06131638643395458,-0.07185769333877445,typo,-0.05137775357596153,mixed
927678,0,positive_audit_confirmed,0,0,1,-0.9726243263231602,-1.0177200049018755,-0.04509567857871541,0.04509567857871541,-0.053589165338266964,mixed,-0.03981635651184967,clean
