noise_condition,preprocess_config,n,positives,predicted_positives,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,pooled_roc_auc,pooled_average_precision,mean_fold_roc_auc,std_fold_roc_auc,mean_fold_average_precision,std_fold_average_precision
clean,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
clean,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
clean,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
clean,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6750509609784507,0.017741309726195136,0.6798228472418595,0.09071144128213933,0.02267376565440429,0.006192703469690498
casing,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
casing,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
casing,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
casing,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6750509609784507,0.017741309726195136,0.6798228472418595,0.09071144128213933,0.02267376565440429,0.006192703469690498
punctuation,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
punctuation,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
punctuation,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8628057658707047,0.12334048206517452,0.8729212311262232,0.06609250022177021,0.1973591761220943,0.12324633089217678
